                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.65313,                0.40776,                0.86551,                0.88803,                0.89145,                0.93119,                0.79963,                0.60791,                0.38704,                0.85311,              0.0087872,              0.0087872,              0.0087872
                     52,                 0.6427,                0.39318,                0.86141,                0.89522,                 0.8835,                0.93108,                0.80052,                0.60745,                0.38697,                0.85325,              0.0087625,              0.0087625,              0.0087625
                     53,                0.65059,                0.40193,                0.86393,                0.88636,                0.89197,                0.93122,                0.80091,                0.60727,                0.38708,                0.85312,              0.0087378,              0.0087378,              0.0087378
                     54,                0.64755,                0.39729,                0.86245,                0.88841,                0.88998,                0.93142,                0.80092,                0.60742,                0.38669,                 0.8533,               0.008713,               0.008713,               0.008713
                     55,                0.64684,                0.40182,                0.86284,                0.88833,                0.88653,                0.93133,                0.80061,                0.60779,                0.38699,                0.85339,              0.0086882,              0.0086882,              0.0086882
                     56,                0.64708,                0.40233,                 0.8649,                0.89269,                 0.8833,                0.93161,                0.80088,                0.60785,                0.38646,                0.85358,              0.0086635,              0.0086635,              0.0086635
                     57,                0.64266,                0.39741,                0.86195,                0.89405,                0.88324,                0.93169,                0.80116,                0.60795,                0.38649,                0.85365,              0.0086388,              0.0086388,              0.0086388
                     58,                0.64421,                0.39461,                0.86156,                0.89211,                0.88422,                0.93163,                0.80173,                0.60795,                0.38676,                0.85378,               0.008614,               0.008614,               0.008614
                     59,                0.64267,                0.39837,                0.86273,                0.89056,                0.88481,                0.93142,                0.80153,                 0.6078,                0.38751,                0.85392,              0.0085893,              0.0085893,              0.0085893
                     60,                0.63965,                0.39786,                0.86183,                0.89357,                0.88304,                0.93096,                0.80097,                 0.6078,                0.38776,                0.85399,              0.0085645,              0.0085645,              0.0085645
                     61,                0.64196,                0.39323,                0.86064,                0.89374,                0.88257,                0.93111,                0.80081,                0.60764,                0.38815,                0.85382,              0.0085398,              0.0085398,              0.0085398
                     62,                 0.6431,                0.39783,                0.86253,                 0.8925,                0.88302,                0.93073,                0.80056,                0.60763,                  0.388,                 0.8538,               0.008515,               0.008515,               0.008515
                     63,                0.64028,                0.39278,                0.86271,                0.89468,                0.88116,                0.93041,                0.80023,                0.60754,                0.38786,                0.85393,              0.0084903,              0.0084903,              0.0084903
                     64,                0.63835,                0.38914,                0.85984,                0.89418,                0.88118,                0.93056,                0.80026,                0.60786,                0.38795,                0.85412,              0.0084655,              0.0084655,              0.0084655
                     65,                0.63693,                0.39088,                0.85929,                0.89379,                0.88295,                0.93045,                0.80039,                0.60766,                0.38778,                0.85406,              0.0084408,              0.0084408,              0.0084408
                     66,                0.63989,                0.39154,                0.86033,                 0.8926,                0.88457,                0.93044,                0.80052,                0.60763,                0.38768,                0.85412,               0.008416,               0.008416,               0.008416
                     67,                0.63807,                 0.3938,                0.86205,                0.89271,                0.88465,                0.93064,                0.80068,                0.60771,                0.38728,                0.85417,              0.0083913,              0.0083913,              0.0083913
